f_acidente;d_classificacaoacidente
332847;Com Vítimas Feridas
332848;Com Vítimas Feridas
332849;Sem Vítimas
332851;Sem Vítimas
332852;Com Vítimas Feridas
332853;Com Vítimas Feridas
332854;Com Vítimas Feridas
332855;Com Vítimas Feridas
332856;Com Vítimas Feridas
332857;Com Vítimas Feridas
332858;Sem Vítimas
332859;Com Vítimas Feridas
332860;Com Vítimas Feridas
332861;Com Vítimas Feridas
332862;Com Vítimas Feridas
332863;Com Vítimas Feridas
332864;Com Vítimas Feridas
332866;Com Vítimas Feridas
332867;Com Vítimas Fatais
332868;Com Vítimas Feridas
332869;Com Vítimas Feridas
332870;Com Vítimas Feridas
332871;Com Vítimas Feridas
332872;Com Vítimas Feridas
332873;Com Vítimas Feridas
332874;Com Vítimas Feridas
332875;Sem Vítimas
332876;Com Vítimas Feridas
332877;Com Vítimas Feridas
332878;Com Vítimas Feridas
332879;Com Vítimas Feridas
332880;Com Vítimas Feridas
332881;Com Vítimas Feridas
332883;Com Vítimas Feridas
332885;Com Vítimas Feridas
332887;Com Vítimas Feridas
332888;Com Vítimas Feridas
332889;Com Vítimas Feridas
332890;Com Vítimas Feridas
332891;Sem Vítimas
332892;Com Vítimas Feridas
332893;Com Vítimas Feridas
