f_acidente;d_fasedia
332995;Pleno dia
332996;Plena Noite
332997;Plena Noite
332998;Pleno dia
332999;Plena Noite
333000;Pleno dia
333001;Plena Noite
333002;Plena Noite
333003;Plena Noite
333004;Plena Noite
333006;Anoitecer
333007;Plena Noite
333008;Plena Noite
333009;Anoitecer
333010;Plena Noite
333011;Plena Noite
333012;Plena Noite
333013;Plena Noite
333014;Plena Noite
333015;Plena Noite
333016;Plena Noite
333017;Plena Noite
333018;Anoitecer
333019;Plena Noite
333020;Plena Noite
333021;Plena Noite
333022;Plena Noite
333023;Plena Noite
333024;Plena Noite
333025;Plena Noite
333026;Plena Noite
333027;Plena Noite
333028;Plena Noite
333029;Plena Noite
333031;Plena Noite
333032;Plena Noite
333033;Plena Noite
333034;Plena Noite
333035;Plena Noite
333037;Plena Noite
333038;Plena Noite
333039;Plena Noite
333041;Plena Noite
333042;Plena Noite
333043;Amanhecer
333044;Plena Noite
333045;Pleno dia
333046;Amanhecer
333048;Amanhecer
333049;Amanhecer
333053;Pleno dia
333054;Pleno dia
333055;Amanhecer
333056;Pleno dia
333057;Pleno dia
333058;Pleno dia
333059;Pleno dia
333060;Pleno dia
333062;Amanhecer
333063;Pleno dia
333064;Pleno dia
333065;Pleno dia
333066;Pleno dia
333067;Pleno dia
333069;Pleno dia
333073;Pleno dia
333074;Pleno dia
333076;Pleno dia
333077;Pleno dia
333079;Pleno dia
333080;Pleno dia
333081;Pleno dia
333082;Pleno dia
333083;Pleno dia
333085;Pleno dia
333086;Pleno dia
333088;Pleno dia
333089;Pleno dia
333090;Pleno dia
333091;Pleno dia
333094;Pleno dia
333095;Pleno dia
333096;Pleno dia
333097;Pleno dia
333099;Pleno dia
333100;Pleno dia
333101;Pleno dia
333102;Pleno dia
333104;Pleno dia
333106;Pleno dia
333107;Pleno dia
333108;Pleno dia
333109;Pleno dia
333110;Pleno dia
333111;Pleno dia
333112;Pleno dia
333113;Pleno dia
333114;Pleno dia
333115;Pleno dia
333116;Pleno dia
333118;Pleno dia
333120;Pleno dia
333121;Pleno dia
333122;Pleno dia
333123;Pleno dia
